id,original_title,release_date,release_year,runtime,vote_average
330127,Back in Time,2015-10-20,2015,95,5.8
323694,Nina Forever,2015-03-14,2015,98,4.8
334028,Some Kind Of Hate,2015-05-02,2015,82,3.9
354924,The Dead Room,2015-10-01,2015,80,4.6
368256,Condemned,2015-11-13,2015,83,3.7
324291,Night Owls,2015-03-15,2015,91,7.1
347847,The Sand,2015-08-28,2015,84,3.9
295490,Digging for Fire,2015-08-21,2015,83,4.9
253406,Ten Thousand Saints,2015-08-14,2015,113,6.0
291865,From the Dark,2015-04-14,2015,90,6.1
334531,My All American,2015-11-13,2015,118,6.9
324803,Hangman,2015-03-14,2015,85,3.9
339355,Larry Gaye: Renegade Male Flight Attendant,2015-06-05,2015,99,5.3
309304,Grandma,2015-06-04,2015,78,5.6
339342,Anarchy Parlor,2015-01-01,2015,0,5.6
306966,Summer Camp,2015-08-30,2015,81,5.3
226458,Backmask,2015-01-16,2015,91,4.6
339148,Already Tomorrow in Hong Kong,2015-06-12,2015,78,5.4
340684,Those People,2015-05-16,2015,89,7.2
340968,Show Me a Hero,2015-08-16,2015,300,7.7
347754,Curve,2015-08-31,2015,86,4.4
326284,Pound of Flesh,2015-05-07,2015,104,5.4
317144,Cyberbully,2015-01-15,2015,62,6.4
277558,Final Girl,2015-04-14,2015,90,4.8
338928,He Named Me Malala,2015-09-12,2015,87,5.3
291189,The Driftless Area,2015-04-18,2015,95,5.0
309425,Do You Believe?,2015-03-20,2015,115,7.4
287689,7 Days in Hell,2015-07-11,2015,43,6.4
363869,Belli di papÃ ,2015-10-29,2015,100,6.1
325189,Teen Beach 2,2015-06-26,2015,104,6.4
298582,Full Out,2015-09-11,2015,94,7.2
301228,Narcopolis,2015-09-25,2015,96,4.4
343934,Staten Island Summer,2015-06-30,2015,108,5.6
296025,Safelight,2015-02-10,2015,84,5.8
371442,Bad Roomies,2015-12-01,2015,93,5.1
325173,Close Range,2015-12-11,2015,80,5.0
282313,The Reconstruction of William Zero,2015-04-11,2015,98,5.1
300542,Queen of Earth,2015-08-26,2015,90,5.6
309924,After the Ball,2015-02-27,2015,101,6.3
348634,A Christmas Detour,2015-12-01,2015,84,7.0
318044,"What Happened, Miss Simone?",2015-01-22,2015,101,7.7
259958,Alex of Venice,2015-04-17,2015,86,6.1
316715,The Eichmann Show,2015-01-20,2015,90,6.2
308027,"People, Places, Things",2015-08-14,2015,85,6.6
279144,"The Death of ""Superman Lives"": What Happened?",2015-05-01,2015,105,6.8
355020,Winter on Fire: Ukraine's Fight for Freedom,2015-10-09,2015,98,8.2
323665,Ava's Possessions,2015-03-16,2015,89,6.1
358895,Being Charlie,2015-09-14,2015,97,6.2
347548,Containment,2015-07-09,2015,77,5.6
353345,The Exorcism of Molly Hartley,2015-10-09,2015,0,5.0
323370,The Diabolical,2015-03-16,2015,86,4.3
337958,Last Cab to Darwin,2015-08-06,2015,124,7.0
333674,Intruders,2015-06-12,2015,90,5.8
301728,Infini,2015-05-08,2015,110,5.0
366018,A Christmas Melody,2015-12-19,2015,83,5.5
256030,Muck,2015-03-15,2015,99,3.3
356149,Robert the Doll,2015-08-24,2015,90,2.6
300666,Bravetown,2015-05-08,2015,112,6.2
347642,Bite,2015-08-15,2015,90,4.9
373558,Taylor Swift: The 1989 World Tour - Live,2015-12-20,2015,132,7.6
367326,Cosmic Scrat-tastrophe,2015-11-06,2015,5,7.7
329205,Ghoul,2015-02-26,2015,86,4.9
386501,Waffle Street,2015-09-24,2015,86,6.4
321769,Deep Web,2015-03-15,2015,90,6.9
251471,A LEGO Brickumentary,2015-07-31,2015,93,6.5
174340,Richard Pryor: Omit the Logic,2015-02-03,2015,83,6.7
309298,Don Verdean,2015-12-11,2015,96,4.0
285840,The Editor,2015-09-08,2015,95,6.0
308077,Nasty Baby,2015-02-08,2015,101,5.0
321109,Bitter Lake,2015-01-24,2015,135,7.8
341886,June,2015-08-01,2015,84,4.0
308024,The Overnight,2015-06-19,2015,80,5.9
356216,The Rise of the Krays,2015-08-29,2015,110,4.7
311615,Smosh: The Movie,2015-07-24,2015,84,5.3
333873,Keepers of the Covenant: Making Exodus: Gods and Kings,2015-03-17,2015,153,5.5
362154,è§£æ•‘å´å…ˆç”Ÿ,2015-09-30,2015,106,6.4
293941,The Quiet Hour,2015-09-07,2015,85,5.3
360203,Lost in the Sun,2015-11-05,2015,95,5.5
294132,Results,2015-05-29,2015,105,5.1
301629,Addicted to Fresno,2015-09-01,2015,85,4.8
331592,Listening,2015-09-11,2015,100,5.3
342464,Jack of the Red Hearts,2015-05-06,2015,102,7.0
332976,Absolution,2015-05-04,2015,95,5.0
367551,American Hero,2015-12-11,2015,86,5.2
